x, eta, H, ksi, tau, qb
0.00000000,12.82820946,4.48383405,17.31204351,0.88722870,0.00036433
833.00000000,12.63943089,4.51266912,17.15210000,0.87402954,0.00035577
1666.00000000,12.45303029,4.54262382,16.99565411,0.86061165,0.00034715
2499.00000000,12.26897978,4.57376042,16.84274020,0.84697271,0.00033846
3332.00000000,12.08724201,4.60615025,16.69339226,0.83310853,0.00032970
4165.00000000,11.90776884,4.63987560,16.54764445,0.81901287,0.00032087
4998.00000000,11.73049972,4.67503181,16.40553153,0.80467706,0.00031197
5831.00000000,11.55535889,4.71173073,16.26708962,0.79008925,0.00030301
6664.00000000,11.38225107,4.75010600,16.13235707,0.77523314,0.00029397
7497.00000000,11.21105193,4.79032425,16.00137618,0.76008469,0.00028484
8330.00000000,11.04154797,4.83265213,15.87420010,0.74458649,0.00027561
9163.00000000,10.87279375,4.87816415,15.75095790,0.72837200,0.00026605
9996.00000000,10.69631718,4.93619077,15.63250795,0.70798823,0.00025420
10829.00000000,10.43699185,5.08868195,15.52567380,0.65581389,0.00022471
11662.00000000,9.74111435,5.71471676,15.45583111,0.49325580,0.00014102
12495.00000000,8.60851885,6.81388007,15.42239891,0.32917865,0.00007091
13328.00000000,7.93633641,7.45960438,15.39594080,0.26941403,0.00004962
14161.00000000,7.62810798,7.74277445,15.37088243,0.24768654,0.00004253
14994.00000000,7.40466336,7.94286892,15.34753228,0.23349267,0.00003810
15827.00000000,7.19782097,8.12805449,15.32587546,0.22130109,0.00003442
16660.00000000,6.99688741,8.30887109,15.30575850,0.21024543,0.00003120
17493.00000000,6.79999156,8.48703609,15.28702765,0.20010501,0.00002834
18326.00000000,6.60644211,8.66310622,15.26954833,0.19075498,0.00002578
19159.00000000,6.41576222,8.83744168,15.25320391,0.18209893,0.00002349
19992.00000000,6.22756792,9.01032478,15.23789269,0.17405780,0.00002142
20825.00000000,6.04154081,9.18198460,15.22352541,0.16656553,0.00001956
21658.00000000,5.85741377,9.35260939,15.21002316,0.15956623,0.00001787
22491.00000000,5.67496056,9.52235527,15.19731583,0.15301216,0.00001633
23324.00000000,5.49398813,9.69135270,15.18534083,0.14686209,0.00001493
24157.00000000,5.31433057,9.85971145,15.17404202,0.14108019,0.00001365
24990.00000000,5.13584445,10.02752441,15.16336886,0.13563505,0.00001248
25823.00000000,4.95840511,10.19487059,15.15327569,0.13049898,0.00001141
26656.00000000,4.78190367,10.36181746,15.14372113,0.12564745,0.00001043
27489.00000000,4.60624466,10.52842291,15.13466757,0.12105855,0.00000953
28322.00000000,4.43134400,10.69473674,15.12608073,0.11671268,0.00000871
29155.00000000,4.25712741,10.86080191,15.11792932,0.11259223,0.00000795
29988.00000000,4.08352905,11.02665561,15.11018465,0.10868127,0.00000725
30821.00000000,3.91049037,11.19233008,15.10282045,0.10496538,0.00000660
31654.00000000,3.73795919,11.35785334,15.09581253,0.10143145,0.00000601
32487.00000000,3.56588885,11.52324979,15.08913864,0.09806754,0.00000546
33320.00000000,3.39423757,11.68854069,15.08277826,0.09486272,0.00000495
34153.00000000,3.22296781,11.85374461,15.07671243,0.09180698,0.00000449
34986.00000000,3.05204578,12.01887780,15.07092359,0.08889114,0.00000406
35819.00000000,2.88144101,12.18395448,15.06539549,0.08610671,0.00000366
36652.00000000,2.71112595,12.34898712,15.06011307,0.08344590,0.00000329
37485.00000000,2.54107562,12.51398668,15.05506230,0.08090149,0.00000295
38318.00000000,2.37126736,12.67896282,15.05023018,0.07846681,0.00000264
39151.00000000,2.20168053,12.84392404,15.04560457,0.07613565,0.00000235
39984.00000000,2.03229627,13.00887791,15.04117417,0.07390226,0.00000209
40817.00000000,1.86309732,13.17383113,15.03692845,0.07176130,0.00000184
41650.00000000,1.69406782,13.33878973,15.03285755,0.06970778,0.00000162
42483.00000000,1.52519310,13.50375916,15.02895226,0.06773706,0.00000141
43316.00000000,1.35645956,13.66874443,15.02520399,0.06584479,0.00000122
44149.00000000,1.18785445,13.83375021,15.02160466,0.06402691,0.00000105
44982.00000000,1.01936571,13.99878100,15.01814672,0.06227962,0.00000089
45815.00000000,0.85098181,14.16384126,15.01482307,0.06059937,0.00000075
46648.00000000,0.68269146,14.32893560,15.01162707,0.05898280,0.00000062
47481.00000000,0.51448336,14.49406910,15.00855246,0.05742677,0.00000050
48314.00000000,0.34634573,14.65924764,15.00559337,0.05592833,0.00000040
49147.00000000,0.17826572,14.82447856,15.00274428,0.05448467,0.00000031
49980.00000000,0.01022822,14.98977178,15.00000000,0.05309315,0.00000022
