Position, Bed_elevation, Water_surface_elevation, Depth, Depth_from_skin_friction
   0.00000,  20.00000,  26.79413,   6.79413,   1.69347
4000.00000,  19.60000,  26.40460,   6.80460,   1.69656
8000.00000,  19.20000,  26.01745,   6.81745,   1.70036
12000.00000,  18.80000,  25.63322,   6.83322,   1.70505
16000.00000,  18.40000,  25.25252,   6.85252,   1.71082
20000.00000,  18.00000,  24.87609,   6.87609,   1.71791
24000.00000,  17.60000,  24.50481,   6.90481,   1.72662
28000.00000,  17.20000,  24.13970,   6.93970,   1.73731
32000.00000,  16.80000,  23.78193,   6.98193,   1.75041
36000.00000,  16.40000,  23.43281,   7.03281,   1.76643
40000.00000,  16.00000,  23.09382,   7.09382,   1.78600
44000.00000,  15.60000,  22.76655,   7.16655,   1.80985
48000.00000,  15.20000,  22.45267,   7.25267,   1.83889
52000.00000,  14.80000,  22.15390,   7.35390,   1.87417
56000.00000,  14.40000,  21.87193,   7.47193,   1.91699
60000.00000,  14.00000,  21.60830,   7.60830,   1.96895
64000.00000,  13.60000,  21.36439,   7.76439,   2.03203
68000.00000,  13.20000,  21.14128,   7.94128,   2.10878
72000.00000,  12.80000,  20.93972,   8.13972,   2.20259
76000.00000,  12.40000,  20.76012,   8.36012,   2.31815
80000.00000,  12.00000,  20.60248,   8.60248,   2.46228
84000.00000,  11.60000,  20.46650,   8.86650,   2.64547
88000.00000,  11.20000,  20.35162,   9.15162,   2.88526
92000.00000,  10.80000,  20.25713,   9.45713,   3.21419
96000.00000,  10.40000,  20.18234,   9.78234,   3.70404
100000.00000,  10.00000,  20.14214,  10.14214,  10.34499
104000.00000,   9.60000,  20.11308,  10.51308,  10.51308
108000.00000,   9.20000,  20.10098,  10.90098,  10.90098
112000.00000,   8.80000,  20.09025,  11.29025,  11.29025
116000.00000,   8.40000,  20.08071,  11.68071,  11.68071
120000.00000,   8.00000,  20.07219,  12.07219,  12.07219
124000.00000,   7.60000,  20.06455,  12.46455,  12.46455
128000.00000,   7.20000,  20.05769,  12.85769,  12.85769
132000.00000,   6.80000,  20.05151,  13.25151,  13.25151
136000.00000,   6.40000,  20.04592,  13.64592,  13.64592
140000.00000,   6.00000,  20.04084,  14.04084,  14.04084
144000.00000,   5.60000,  20.03623,  14.43623,  14.43623
148000.00000,   5.20000,  20.03203,  14.83203,  14.83203
152000.00000,   4.80000,  20.02819,  15.22819,  15.22819
156000.00000,   4.40000,  20.02468,  15.62468,  15.62468
160000.00000,   4.00000,  20.02145,  16.02145,  16.02145
164000.00000,   3.60000,  20.01848,  16.41848,  16.41848
168000.00000,   3.20000,  20.01575,  16.81575,  16.81575
172000.00000,   2.80000,  20.01323,  17.21323,  17.21323
176000.00000,   2.40000,  20.01089,  17.61089,  17.61089
180000.00000,   2.00000,  20.00873,  18.00873,  18.00873
184000.00000,   1.60000,  20.00673,  18.40673,  18.40673
188000.00000,   1.20000,  20.00486,  18.80486,  18.80486
192000.00000,   0.80000,  20.00313,  19.20313,  19.20313
196000.00000,   0.40000,  20.00151,  19.60151,  19.60151
200000.00000,   0.00000,  20.00000,  20.00000,  20.00000
