Height, Velocity_init, Concentration_init, Velocity, Concentration, Gradient_Richardson_number
   0.05000,  16.55018,   1.00000,  16.55018,   1.00000,   0.19073
   0.06900,  17.36939,   0.72218,  18.85882,   0.39997,   0.13087
   0.08800,  17.98348,   0.56294,  20.32471,   0.22076,   0.10497
   0.10700,  18.47532,   0.45916,  21.39220,   0.14188,   0.09008
   0.12600,  18.88578,   0.38594,  22.22753,   0.09964,   0.08023
   0.14500,  19.23806,   0.33138,  22.91120,   0.07413,   0.07313
   0.16400,  19.54667,   0.28910,  23.48828,   0.05743,   0.06771
   0.18300,  19.82127,   0.25531,  23.98650,   0.04584,   0.06340
   0.20200,  20.06863,   0.22767,  24.42410,   0.03743,   0.05987
   0.22100,  20.29367,   0.20461,  24.81372,   0.03111,   0.05690
   0.24000,  20.50009,   0.18508,  25.16445,   0.02624,   0.05435
   0.25900,  20.69075,   0.16830,  25.48304,   0.02238,   0.05213
   0.27800,  20.86788,   0.15372,  25.77465,   0.01928,   0.05017
   0.29700,  21.03328,   0.14093,  26.04331,   0.01675,   0.04842
   0.31600,  21.18840,   0.12962,  26.29220,   0.01464,   0.04684
   0.33500,  21.33446,   0.11953,  26.52390,   0.01288,   0.04541
   0.35400,  21.47244,   0.11048,  26.74053,   0.01138,   0.04409
   0.37300,  21.60321,   0.10230,  26.94382,   0.01010,   0.04288
   0.39200,  21.72747,   0.09488,  27.13524,   0.00899,   0.04175
   0.41100,  21.84584,   0.08811,  27.31603,   0.00803,   0.04069
   0.43000,  21.95886,   0.08191,  27.48723,   0.00719,   0.03970
   0.44900,  22.06698,   0.07621,  27.64976,   0.00645,   0.03877
   0.46800,  22.17063,   0.07094,  27.80441,   0.00580,   0.03789
   0.48700,  22.27014,   0.06606,  27.95184,   0.00522,   0.03704
   0.50600,  22.36585,   0.06152,  28.09266,   0.00470,   0.03624
   0.52500,  22.45802,   0.05730,  28.22739,   0.00423,   0.03547
   0.54400,  22.54692,   0.05334,  28.35650,   0.00382,   0.03473
   0.56300,  22.63276,   0.04964,  28.48041,   0.00344,   0.03401
   0.58200,  22.71575,   0.04616,  28.59948,   0.00310,   0.03332
   0.60100,  22.79608,   0.04289,  28.71405,   0.00279,   0.03264
   0.62000,  22.87390,   0.03980,  28.82440,   0.00251,   0.03198
   0.63900,  22.94938,   0.03687,  28.93081,   0.00225,   0.03134
   0.65800,  23.02264,   0.03411,  29.03352,   0.00202,   0.03071
   0.67700,  23.09381,   0.03148,  29.13275,   0.00181,   0.03008
   0.69600,  23.16302,   0.02898,  29.22869,   0.00161,   0.02947
   0.71500,  23.23036,   0.02660,  29.32154,   0.00143,   0.02885
   0.73400,  23.29593,   0.02434,  29.41144,   0.00127,   0.02824
   0.75300,  23.35983,   0.02217,  29.49856,   0.00112,   0.02763
   0.77200,  23.42214,   0.02009,  29.58303,   0.00098,   0.02701
   0.79100,  23.48293,   0.01810,  29.66496,   0.00085,   0.02639
   0.81000,  23.54227,   0.01619,  29.74448,   0.00073,   0.02575
   0.82900,  23.60024,   0.01436,  29.82169,   0.00062,   0.02510
   0.84800,  23.65690,   0.01258,  29.89667,   0.00052,   0.02443
   0.86700,  23.71230,   0.01087,  29.96950,   0.00043,   0.02372
   0.88600,  23.76650,   0.00922,  30.04026,   0.00035,   0.02296
   0.90500,  23.81955,   0.00761,  30.10898,   0.00027,   0.02215
   0.92400,  23.87149,   0.00605,  30.17570,   0.00020,   0.02123
   0.94300,  23.92238,   0.00452,  30.24041,   0.00014,   0.02016
   0.96200,  23.97226,   0.00300,  30.30304,   0.00008,   0.01875
   0.98100,  24.02115,   0.00146,  30.36322,   0.00003,   0.01624
   1.00000,  24.06911,   0.00091,  30.41637,   0.00002,   0.00000
