z_over_H, C_over_Cb
   1.00000,   0.00000
   0.99500,   0.46268
   0.98000,   0.52751
   0.95000,   0.57640
   0.90000,   0.61814
   0.85000,   0.64548
   0.80000,   0.66686
   0.75000,   0.68505
   0.70000,   0.70135
   0.65000,   0.71649
   0.60000,   0.73095
   0.55000,   0.74509
   0.50000,   0.75921
   0.45000,   0.77360
   0.40000,   0.78856
   0.35000,   0.80448
   0.30000,   0.82184
   0.25000,   0.84140
   0.20000,   0.86435
   0.15000,   0.89298
   0.10000,   0.93248
   0.05000,   1.00000
